Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,70.63,Anna Purchase,1,,Notts,Berkeley CA USA,9 Apr 22
2,70.59,Charlotte Payne D,-3,Paul Dickenson,Reading AC,Sportcity,26 Jun 22
3,69.72,Katie Head,1,Paul Head,Newham & Essex Beagles,Woodford,13 Feb 22
4,69.39,Tara Simpson-Sullivan,-1,Robert Halliwell,Wigan & District,San Antonio TX USA,13 May 22
5,68.72,Amy Phillips,2,Justin St Clair,Windsor Slough Eton & Hounslow,Raleigh NC USA,26 Mar 22
6,68.11,Jessica Mayho,7,John Pearson,Birchfield H,Loughborough,27 Feb 22
7,66.52,Amber Simpson,1,,Deeside AAC,Birmingham,6 Aug 22
8,65.11,Kayleigh Presswell,5,Paul Head,Marshall Milton Keynes,Milton Keynes,7 May 22
9,62.71,Racheal Somoye,6,,Birchfield H,Walnut CA USA,16 Apr 22
10,62.67,Pippa Wingate,7,Gareth Cook,Thames Valley,Kingston,14 May 22
11,61.91,Philippa Davenall,2,,Shaftesbury Barnet,Woodford,13 Feb 22
12,61.68,Alice Barnsdale,1,Dave Smith,Kingston upon Hull,Gainesville FL USA,1 Apr 22
13,60.74,Hannah Blood,-2,,Sale Harriers Manchester,Monroe LA USA,22 Apr 22
14,59.94,Zoe Price,-3,John Pearson,Liverpool H,Bournemouth,2 Jul 22
15,59.59,Charlotte Williams,-2,Michael Hitchon,Blackburn,Oxford MO USA,12 May 22
16,57.22,Candy Lockett,1,,Birchfield H,Mount Olive NC USA,25 Mar 22
17,57.21,Anna Merritt,-3,,Newham & Essex Beagles,Winchester,1 May 22
18,56.82,Annabelle Crossdale,6,Barry Hawksworth,Notts,Tamworth,5 Jun 22
19,56.65,Phoebe Baggott,-2,Steve Pearson,Birchfield H,Bedford,17 Jul 22
20,56.27,Rachel Wilcockson,14,Paul Gair,Mansfield,Mansfield,6 Aug 22
21,56.26,Poppy Bean,-1,John Pearson,Notts,Hendon,2 Jul 22
22,56.23,Jessica Charlie Bennett,-4,David Callaway,Southampton,Eton,4 Jun 22
23,55.74,Lucy Marshall,19,Gary Herrington,Woodford Green Essex Ladies,Woodford,16 Jul 22
24,55.71,Kelse Hutchinson,6,Barry Hawksworth,Derby,Derby,3 May 22
25,55.56,Danielle Broom,1,Paul Rees,Bournemouth,Sportcity,4 Jun 22
26,54.74,Luisa Chantler Edmond,1,Peter O'Keefe,Radley,Princeton NJ USA,15 Apr 22
27,54.17,Cathy Coleman,2,,Guildford & Godalming,Guildford,16 Jul 22
28,53.93,Olivia Stevenson,1,Dave Smith,Kingston upon Hull,Cleckheaton,12 Jun 22
29,53.72,Ffion Palmer,-1,Adrian Palmer,Cardiff,Chelmsford,30 Apr 22
30,52.98,Maria Schofield,-1,Paul Wilson,City of York,Cudworth,14 May 22
31,52.96,Katie Lambert,2,John Pearson,Kidderminster & Stourport,Loughborough,11 May 22
32,52.82,Rachel MacLennan,-3,Duncan Flockhart,Inverness,Kingston,7 May 22
33,51.75,Lily Murray,-6,Gareth Cook,Swale Combined,Gillingham,15 May 22
