Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,78.39,Nick Miller,6,Tore Gustafsson,Border,Herald CA USA,26 Jun 21
2,78.23,Taylor Campbell,3,John Pearson,Windsor Slough Eton & Hounslow,Budapest HUN,5 Jun 21
3,75.79,Chris Bennett,10,Andy Frost,Shaftesbury Barnet,Gothenburg SWE,2 Jun 21
4,73.07,Craig Murch,6,Lorraine Shaw,Birchfield H,Nuneaton,13 Jun 21
5,72.31,Jake Norris,-1,Paul Dickenson,Windsor Slough Eton & Hounslow,Baton Rouge LA USA,3 Apr 21
6,71.60,Osian Jones,6,,Liverpool H,Aberdare,20 Jul 21
7,69.98,Joseph Ellis,3,Jerry Clayton,Blackheath & Bromley,Toledo OH USA,15 May 21
8,69.74,Jac Palmer,3,Adrian Palmer,Cardiff,Aberdare,15 May 21
9,68.03,Ben Hawkes,-2,Adrian Palmer,Worthing,Bedford,20 Jun 21
10,67.68,Tom Parker,5,Amir Williamson,Blackheath & Bromley,Mount Olive NC USA,26 Mar 21
11,67.13,Chris Shorthouse,11,John Pearson,Birchfield H,Hull,12 Aug 21
12,66.85,Ruben Banks,-3,Dennis Daly,Windsor Slough Eton & Hounslow,Fayetteville AR USA,24 Apr 21
13,66.29,Ciaran Wright,3,Andy Frost,Woodford Green Essex Ladies,Linwood,10 Apr 21
14,65.91,Bayley Campbell,-2,Paul Dickenson,Windsor Slough Eton & Hounslow,College Station TX USA,26 May 21
15,65.41,Thomas Head,3,Paul Head,Newham & Essex Beagles,Chelmsford,31 Jul 21
16,65.26,Edward Jeans,1,Bob Welfare,Preston,Manhattan KS USA,14 May 21
17,64.47,Jack Paget,2,John Pearson,Thames Valley,Sportcity,18 Aug 21
18,64.37,Callum Brown,5,,City of Norwich,Norwich,2 Oct 21
19,64.09,Joe Bloomfield,9,Gary Howe,Ipswich,Cambridge,11 Jul 21
20,62.93,Oliver Graham,-3,Robert Earle,Shaftesbury Barnet,Bedford,20 Jun 21
21,61.43,Shaun Kerry,-3,Dave Smith,Kingston upon Hull,College Station TX USA,9 Apr 21
22,61.29,Jonathan Edwards,7,John Edwards,City of Plymouth,Exeter,20 Jun 21
23,61.01,Andy Frost,18,Lorraine Shaw,Woodford Green Essex Ladies,Hendon,28 Aug 21
24,59.63,Alex Warner,10,Paul Head,Newham & Essex Beagles,Hendon,28 Aug 21
25,58.83,Richard Martin,15,,Bedford & County,Lee Valley,1 Aug 21
26,57.94,James Hamblin,3,,London Heathside,Hendon,28 Aug 21
27,57.48,Michael Bomba,13,Ronnie Bomba,Liverpool H,Liverpool,28 Aug 21
28,57.24,James Bedford,11,Dave Smith,Birchfield H,Hull,9 Oct 21
29,56.82,Peter Cassidy,1,Martin Cassidy,Guildford & Godalming,Woodford,8 Aug 21
30,56.72,George Evans,1,Colin McCulloch,Shaftesbury Barnet,Waco TX USA,16 Apr 21
31,56.71,Tim Williams,7,Lorraine Shaw,Gloucester,Yate,15 Aug 21
32,56.24,Alex Smith,11,,Sale Harriers Manchester,Hull,13 Jun 21
33,56.23,Oliver Hewitt,-1,Paul Dickenson,Newbury,Basingstoke,20 Jun 21
34,54.27,Harry Ricketts,-6,Bob Broadbridge,Swindon,Swindon,11 Sep 21
35,54.02,Iain Botting D,6,Paul Dickenson,Windsor Slough Eton & Hounslow,Hull,10 Oct 21
36,53.89,George Marvell,1,Paul Dickenson,Stevenage & North Herts,Stevenage,11 Sep 21
37,53.62,John Pearson,33,,Charnwood,Nuneaton,5 Sep 21
38,53.60,James Ericsson-Nicholls,-3,Jack Kee,Marshall Milton Keynes,Hull,10 Oct 21
39,53.23,Jason Robinson,10,John Pearson,Sheffield & Dearne,Sportcity,3 Jul 21
40,52.82,Peter Clarke,8,,Woodford Green Essex Ladies,Woodford,14 Aug 21
41,52.80,Sam Mace,-2,Paul Dickenson,Walton,Eton,7 Aug 21
42,52.63,Jamie Potton-Burrell,3,,Luton,Ware,20 Jun 21
