Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,73.02,Anna Purchase,2,,Notts,Berkeley CA USA,8 Apr 23
2,72.51,Charlotte Payne D,-2,Paul Dickenson,Reading AC,Eton,11 Jun 23
3,69.39,Katie Head,2,Paul Head,Newham & Essex Beagles,Grays,13 May 23
4,68.24,Tara Simpson-Sullivan,1,Robert Halliwell,Wigan & District,Houston TX USA,22 Apr 23
5,68.13,Amber Simpson,2,,Wrexham,Memphis TN USA,28 Apr 23
6,66.69,Kayleigh Presswell,6,Paul Head,Thames Valley,Chelmsford,23 Jul 23
7,66.04,Jessica Mayho,8,John Pearson,Birchfield H,Middlesbrough,30 Apr 23
8,65.16,Amy Phillips,3,Justin St Clair,Windsor Slough Eton & Hounslow,Vermillion SD USA,8 Apr 23
9,62.13,Philippa Davenall,3,Paul Head,Shaftesbury Barnet,Grays,13 May 23
10,60.73,Zoe Price,-2,John Pearson,Liverpool H,Chelmsford,23 Jul 23
11,60.36,Hannah Blood,-1,,Sale Harriers Manchester,Tucson AZ USA,29 Apr 23
12,60.14,Alice Barnsdale,2,Dave Smith,Kingston upon Hull,Annapolis MD USA,25 Mar 23
13,59.52,Pippa Wingate,8,Gareth Cook,Thames Valley,Kingston,13 May 23
14,58.87,Rachel Wilcockson,15,Paul Gair,Mansfield,Derby,18 Jun 23
15,58.32,Angela McAuslan-Kelly,-5,Jim Green,Thames Valley,Loughborough,27 May 23
16,58.28,Anna Merritt,-2,,Newham & Essex Beagles,Woodford,15 Jul 23
17,57.26,Phoebe Baggott,-1,Steve Pearson,Birchfield H,Ithaca NY USA,15 Apr 23
18,57.13,Lucy Marshall,20,Gary Herrington,Woodford Green Essex Ladies,Woodford,15 Jul 23
19,57.06,Megan Larkins,3,John Pearson,Colchester H,Pocatello ID USA,28 Apr 23
20,56.80,Charlotte Williams,-1,Michael Hitchon,Blackburn,Lawrence KA USA,29 Apr 23
21,56.56,Danielle Broom,2,Paul Rees,Woodford Green Essex Ladies,Loughborough,21 May 23
