Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,76.93,Nick Miller,1,Tore Gustafsson,Border,Lawrence KS USA,26 May 16
2,76.45,Chris Bennett,5,Michael Jones,Shaftesbury Barnet,Budapest HUN,18 Jun 16
3,76.26,Mark Dry,7,,Woodford Green Essex Ladies,Loughborough,17 Apr 16
4,72.70,Taylor Campbell,-3,John Pearson,Windsor Slough Eton & Hounslow,Leiria POR,24 Jul 16
5,69.79,Craig Murch,1,John Pearson,Rugby & Northampton,Loughborough,22 May 16
6,68.66,Chris Shorthouse,6,John Pearson,Birchfield H,Leiria POR,28 May 16
7,68.25,Joseph Ellis,-3,Jerry Clayton,Blackheath & Bromley,Jacksonville FL USA,26 May 16
8,67.96,Osian Jones,1,Dennis Roscoe,Liverpool H,Loughborough,22 May 16
9,67.85,Nick Percy,-1,Vesteinn Hafsteinsson,Shaftesbury Barnet,Lincoln NE USA,7 May 16
10,67.05,Callum Brown,-1,,City of Norwich,Norwich,20 Aug 16
11,66.91,James Bedford,6,Dave Smith,Birchfield H,Hull,14 May 16
12,66.25,Andy Frost,13,Lorraine Shaw,Woodford Green Essex Ladies,Eton,7 May 16
13,65.67,Michael Painter,-1,John Painter,Newham & Essex Beagles,Eton,7 May 16
14,65.45,Alex Smith,6,,Sale Harriers Manchester,Hull,14 May 16
15,65.21,Michael Bomba,8,Ronnie Bomba,Liverpool H,Loughborough,17 Apr 16
16,64.81,Jac Palmer,-3,Adrian Palmer,Cardiff,Cardiff,11 Jun 16
17,64.37,Jonathan Edwards,2,John Edwards,City of Plymouth,Exeter,28 Jun 16
18,63.81,Ciaran Wright,-3,,Falkirk,Stuttgart GER,5 Jun 16
19,63.34,Thomas Head,-3,Paul Head,Newham & Essex Beagles,Loughborough,17 Apr 16
20,63.18,Tom Parker,-1,Amir Williamson,Sheffield & Dearne,Oxford,7 May 16
21,62.18,Tim Williams,2,Lorraine Shaw,Gloucester,Yeovil,11 Sep 16
22,61.70,Jake Norris,-6,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,7 May 16
23,61.50,Alex Warner,5,Paul Head,Newham & Essex Beagles,Hendon,6 Aug 16
24,60.41,Matt Lasis,1,Karl Lasis,Crawley,Bedford,2 May 16
25,59.68,Richard Martin,10,,Bedford & County,Bedford,16 Apr 16
25,59.68,Jacob Lange,-2,Lorraine Shaw,Gloucester,Oxford,7 May 16
27,58.96,James Hamblin,-3,Robert Earle,Colchester H,Loughborough,11 May 16
28,57.56,Peter Clarke,3,Ron Bowden,Woodford Green Essex Ladies,Woodford,9 Jul 16
29,57.35,Jay Hill,3,Laurence Garnham,Newquay & Par,Yeovil,6 Aug 16
30,57.30,John Pearson,28,,Charnwood,Nuneaton,4 Sep 16
31,57.14,Mike Floyd,18,Kevin Madden,Sale Harriers Manchester,Wigan,7 May 16
32,55.55,Ross Douglas,-3,Jim Edwards,Charnwood,Stourport,8 May 16
